               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12003,            0.082532,                   0,               0.005,               0.075,           0.0027792,          0.00027792,               0.132,            0.055754,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.09696,             0.10154,                   0,             0.46324,             0.49631,             0.39721,             0.13489,            0.076919,            0.075499,                   0,            0.086426,           0.0014257,           0.0014257
                   2,            0.082365,            0.094005,                   0,             0.45486,               0.825,             0.72491,             0.27646,            0.075932,             0.10692,                   0,            0.079072,           0.0020723,           0.0020723
                   3,            0.072805,            0.083618,                   0,             0.16003,               0.975,             0.37433,            0.085865,            0.071261,             0.15224,                   0,             0.07164,           0.0026396,           0.0026396
                   4,            0.065998,            0.072166,                   0,             0.40177,                   1,             0.76877,             0.31974,            0.058815,             0.09033,                   0,            0.064128,           0.0031278,           0.0031278
                   5,            0.061864,            0.067063,                   0,             0.41947,               0.925,             0.83719,              0.3169,            0.063571,            0.076451,                   0,            0.056537,           0.0035367,           0.0035367
                   6,            0.059848,            0.062333,                   0,             0.34724,               0.875,             0.63076,             0.28107,            0.061299,            0.070711,                   0,            0.048867,           0.0038665,           0.0038665
                   7,            0.061767,            0.067853,                   0,             0.36334,                 0.9,             0.49416,             0.14189,            0.058102,            0.052005,                   0,            0.041117,           0.0041171,           0.0041171
                   8,            0.054991,            0.062753,                   0,             0.41068,                 0.9,             0.53468,             0.22981,            0.045608,            0.047808,                   0,            0.033288,           0.0042884,           0.0042884
                   9,            0.052931,             0.06241,                   0,             0.41413,                0.85,             0.52104,             0.21583,            0.050997,            0.050005,                   0,            0.025381,           0.0043806,           0.0043806
                  10,            0.053514,            0.066001,                   0,             0.47667,               0.975,             0.84223,             0.32279,            0.043459,            0.043383,                   0,            0.017394,           0.0043935,           0.0043935
                  11,            0.052857,            0.066228,                   0,             0.82363,               0.975,             0.96807,             0.54915,            0.033309,            0.038008,                   0,           0.0093273,           0.0043273,           0.0043273
                  12,             0.05114,            0.061336,                   0,             0.51676,               0.975,             0.70944,             0.29429,            0.040686,             0.03981,                   0,             0.00406,             0.00406,             0.00406
                  13,            0.048861,            0.060798,                   0,             0.47935,               0.925,             0.76039,             0.37146,            0.041351,            0.040472,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.044461,            0.060587,                   0,             0.68647,               0.975,             0.92011,             0.42978,            0.036155,            0.039276,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.043936,            0.063017,                   0,             0.91403,                   1,             0.97426,             0.59592,            0.028052,            0.036005,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.037857,            0.055722,                   0,             0.93725,                   1,             0.99088,             0.71917,            0.026477,            0.035584,                   0,            0.002575,            0.002575,            0.002575
                  17,             0.03358,            0.049346,                   0,             0.74798,                   1,             0.96087,             0.65439,            0.030631,            0.037137,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.03337,            0.052464,                   0,              0.9069,                   1,              0.9933,             0.58619,            0.026288,            0.035062,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.029385,            0.053716,                   0,             0.86594,                   1,             0.98993,              0.6024,            0.027056,            0.035202,                   0,             0.00109,             0.00109,             0.00109
